1,0.3192629261643623,-0.223643323474,5.74465,2.94806,
6,0.5217116531366464,-0.273846884682,1.47332,2.62744,
11,0.7249300644521571,-0.342398345631,3.56119,2.48187,
16,0.6370996257628694,-0.388656028683,4.33176,2.35938,
21,0.6609014405167698,-0.372076377695,4.52854,2.27596,
26,0.6501477298156393,-0.363849890586,4.74761,2.21638,
31,0.6861609559243953,-0.365209094789,4.54423,2.16442,
36,0.7579949856577094,-0.316654108167,3.95037,2.10993,
41,0.7640085970149437,-0.341538371938,4.01861,2.05298,
46,0.7708341440788617,-0.282542074933,4.28191,1.99011,
51,0.7536591752789928,-0.320778499239,4.59791,1.92556,
56,0.6657460730275381,-0.27739219921,5.00316,1.85279,
61,0.565099604927392,-0.305449042916,5.20277,1.77751,
66,0.529716290433464,-0.252106937451,5.29901,1.7285,
71,0.6343779269746772,-0.239119548097,5.23361,1.65697,
76,0.595426819905562,-0.260316598462,5.53932,1.5826,
81,0.6149735328353563,-0.230956056484,5.4754,1.51715,
86,0.6030313800017649,-0.243432289703,5.65433,1.49048,
91,0.6045416466481682,-0.254210382835,5.71492,1.41436,
96,0.5910366524944892,-0.252988728409,5.7651,1.35206,
1,0.5920796413876633,-0.246705245029,5.65342,1.47233,
